0.000000 	 3.441666666666666e+00 	 2.950000000000000e+00 	 3.911399899896292e+00 
0.000000 	 3.383333333333334e+00 	 2.900000000000000e+00 	 3.763936780172108e+00 
0.000000 	 3.325000000000000e+00 	 2.850000000000001e+00 	 3.618932482908089e+00 
0.000000 	 3.266666666666667e+00 	 2.800000000000001e+00 	 3.476384901114485e+00 
0.000000 	 3.208333333333333e+00 	 2.750000000000000e+00 	 3.336291783486637e+00 
0.000000 	 3.150000000000000e+00 	 2.700000000000000e+00 	 3.198650722018731e+00 
0.000000 	 3.091666666666667e+00 	 2.650000000000000e+00 	 3.063459138341366e+00 
0.000000 	 3.033333333333333e+00 	 2.600000000000001e+00 	 2.930714268630006e+00 
0.000000 	 2.975000000000001e+00 	 2.550000000000001e+00 	 2.800413146910455e+00 
0.000000 	 2.916666666666667e+00 	 2.500000000000000e+00 	 2.672552586563662e+00 
0.000000 	 2.858333333333333e+00 	 2.450000000000000e+00 	 2.547129159804495e+00 
0.000000 	 2.800000000000000e+00 	 2.400000000000000e+00 	 2.424139174877256e+00 
0.000000 	 2.741666666666667e+00 	 2.350000000000001e+00 	 2.303578650674021e+00 
0.000000 	 2.683333333333334e+00 	 2.300000000000001e+00 	 2.185443288439142e+00 
0.000000 	 2.625000000000000e+00 	 2.250000000000000e+00 	 2.069728440174087e+00 
0.000000 	 2.566666666666666e+00 	 2.200000000000000e+00 	 1.956429073299512e+00 
0.000000 	 2.508333333333334e+00 	 2.150000000000000e+00 	 1.845539731065137e+00 
0.000000 	 2.450000000000000e+00 	 2.100000000000001e+00 	 1.737054488121086e+00 
0.000000 	 2.391666666666667e+00 	 2.050000000000001e+00 	 1.630966900574759e+00 
0.000000 	 2.333333333333333e+00 	 2.000000000000000e+00 	 1.527269949753648e+00 
0.000000 	 2.275000000000000e+00 	 1.950000000000000e+00 	 1.425955978773920e+00 
0.000000 	 2.216666666666667e+00 	 1.900000000000000e+00 	 1.327016620874965e+00 
0.000000 	 2.158333333333333e+00 	 1.850000000000001e+00 	 1.230442718318702e+00 
0.000000 	 2.100000000000000e+00 	 1.800000000000001e+00 	 1.136224230466067e+00 
0.000000 	 2.041666666666667e+00 	 1.750000000000000e+00 	 1.044350129429456e+00 
0.000000 	 1.983333333333333e+00 	 1.700000000000000e+00 	 9.548082814560557e-01 
0.000000 	 1.925000000000000e+00 	 1.650000000000000e+00 	 8.675853119215891e-01 
0.000000 	 1.866666666666667e+00 	 1.600000000000001e+00 	 7.826664515070449e-01 
0.000000 	 1.808333333333334e+00 	 1.550000000000000e+00 	 7.000353607954648e-01 
0.000000 	 1.750000000000000e+00 	 1.500000000000000e+00 	 6.196739301703962e-01 
0.000000 	 1.691666666666666e+00 	 1.450000000000000e+00 	 5.415620515389491e-01 
0.000000 	 1.633333333333334e+00 	 1.400000000000000e+00 	 4.656773580720293e-01 
0.000000 	 1.575000000000000e+00 	 1.350000000000001e+00 	 3.919949279056670e-01 
0.000000 	 1.516666666666667e+00 	 1.300000000000000e+00 	 3.204869476704234e-01 
0.000000 	 1.458333333333333e+00 	 1.250000000000000e+00 	 2.511223319569230e-01 
0.000000 	 1.400000000000000e+00 	 1.200000000000000e+00 	 1.838662956200070e-01 
0.000000 	 1.341666666666667e+00 	 1.150000000000000e+00 	 1.186798775469124e-01 
0.000000 	 1.283333333333333e+00 	 1.100000000000001e+00 	 5.551941775830949e-02 
0.000000 	 1.225000000000000e+00 	 1.050000000000000e+00 	 -5.664004594220617e-03 
0.000000 	 1.166666666666667e+00 	 1.000000000000000e+00 	 -6.492515517049857e-02 
0.000000 	 1.108333333333333e+00 	 9.500000000000002e-01 	 -1.223252173950541e-01 
0.000000 	 1.050000000000000e+00 	 9.000000000000004e-01 	 -1.779322960770884e-01 
0.000000 	 9.916666666666671e-01 	 8.500000000000001e-01 	 -2.318217529648459e-01 
0.000000 	 9.333333333333336e-01 	 8.000000000000003e-01 	 -2.840762121386241e-01 
0.000000 	 8.750000000000000e-01 	 7.500000000000000e-01 	 -3.347849750593317e-01 
0.000000 	 8.166666666666664e-01 	 7.000000000000002e-01 	 -3.840424357001796e-01 
0.000000 	 7.583333333333337e-01 	 6.500000000000004e-01 	 -4.319448636790796e-01 
0.000000 	 7.000000000000002e-01 	 6.000000000000001e-01 	 -4.785846027404629e-01 
0.000000 	 6.416666666666666e-01 	 5.500000000000003e-01 	 -5.240402942621536e-01 
0.000000 	 5.833333333333330e-01 	 5.000000000000000e-01 	 -5.683611926088992e-01 
0.000000 	 5.250000000000004e-01 	 4.500000000000002e-01 	 -6.115430920878111e-01 
0.000000 	 4.666666666666668e-01 	 4.000000000000004e-01 	 -6.534931400023491e-01 
0.000000 	 4.083333333333332e-01 	 3.500000000000001e-01 	 -6.939815696742355e-01 
0.000000 	 3.500000000000001e-01 	 3.000000000000003e-01 	 -7.325814661404350e-01 
0.000000 	 2.916666666666665e-01 	 2.500000000000000e-01 	 -7.686049563301316e-01 
0.000000 	 2.333333333333334e-01 	 2.000000000000002e-01 	 -8.010570758785475e-01 
0.000000 	 1.750000000000003e-01 	 1.500000000000004e-01 	 -8.286446840639234e-01 
0.000000 	 1.166666666666667e-01 	 1.000000000000001e-01 	 -8.498861107518114e-01 
0.000000 	 5.833333333333357e-02 	 5.000000000000027e-02 	 -8.633470754245363e-01 
0.000000 	 0.000000000000000e+00 	 0.000000000000000e+00 	 -8.679655058809148e-01 
0.000000 	 -5.833333333333313e-02 	 -4.999999999999982e-02 	 -8.633470754245364e-01 
